x	y
1	93.8767
2	94.2415
3	93.6771
4	92.8193
5	91.0585
6	89.6964
7	90.3992
8	89.8729
9	89.8685
10	89.9624
11	89.7441
12	88.1427
13	87.4839
14	87.8892
15	87.0392
16	85.8025
17	85.2074
18	85.7885
19	87.8484
20	87.2768
21	88.4251
22	89.1924
23	86.277
24	85.3508
25	84.7386
26	84.8515
27	85.9732
28	86.7857
29	87.3179
30	89.6079
31	91.1385
32	91.3471
33	90.8585
34	90.1782
35	89.8972
36	90.6948
37	91.4374
38	92.1017
39	92.6907
40	92.3015
41	90.0012
42	88.0909
43	87.0131
44	86.3583
45	85.1142
46	84.9925
47	85.28
48	86.0342
49	87.377
50	88.6574
51	90.0652
52	89.7871
53	90.4776
54	90.3615
55	90.745
56	90.5258
57	90.2923
58	91.2365
59	90.9841
60	90.2203
61	89.2916
62	88.6105
63	88.5034
64	88.6413
65	89.1406
66	89.9233
67	90.1397
68	90.0786
69	89.8414
70	89.7238
71	90.2657
72	90.3144
73	90.2907
74	90.3851
75	90.8424
76	90.0532
77	88.0125
78	88.2174
79	88.3214
80	87.7284
81	87.0406
82	86.4672
83	87.3528
84	88.9524
85	89.3563
86	89.505
87	88.9636
88	88.9929
89	89.0056
90	88.8934
91	88.1269
92	88.1614
93	88.392
94	88.5959
95	87.8691
96	86.7496
97	86.9534
98	87.152
99	85.8452
100	85.7181
101	88.5566
102	88.6372
103	89.5778
104	90.5082
105	92.481
106	90.3636
107	90.9249
108	93.0799
109	94.6631
110	96.4074
111	98.9092
112	101.471
113	100.568
114	99.0875
115	94.8441
116	90.6677
117	89.6207
118	92.3923
119	91.8137
120	89.1259
121	80.7727
122	81.035
123	83.6373
124	83.9825
125	85.1806
126	84.4942
127	84.2234
128	83.8694
129	84.231
130	83.8461
131	82.0829
132	87.8766
133	90.4404
134	89.5381
135	88.0889
136	87.0601
137	87.0331
138	87.1871
139	86.5316
140	88.0653
141	89.3762
142	89.1777
143	88.833
144	89.4609
145	89.6841
146	90.4444
147	89.5351
148	87.1085
149	85.4393
150	86.6667
151	88.5942
152	91.3132
153	92.7485
154	90.0225
155	87.5936
156	85.0821
157	84.8776
158	84.8385
159	86.1334
160	86.7011
161	86.5674
162	86.3105
163	88.1784
164	88.8843
165	88.5731
166	87.8495
167	88.1567
168	87.8589
169	88.7025
170	90.0426
171	90.9216
172	89.6659
173	87.1375
174	86.6063
175	85.8833
176	86.0936
177	85.2804
178	84.9758
179	87.2522
180	83.6588
181	84.9238
182	82.2421
183	85.0556
184	83.3174
185	83.8202
186	85.4344
187	85.1667
188	85.0003
189	82.9825
190	82.2367
191	82.3182
192	83.2499
193	84.1145
194	84.8538
195	85.6335
196	84.221
197	81.8994
198	83.7688
199	84.6976
200	86.4106
201	84.9963
202	87.2652
203	87.2868
204	88.3079
205	89.0973
206	89.4453
207	90.1867
208	91.3126
209	93.3214
210	94.4412
211	91.6045
212	91.3076
213	92.6786
214	93.4174
215	95.0936
216	98.478
217	98.8501
218	98.8391
219	99.5606
220	99.2322
221	101.628
222	102.529
223	103.148
224	103.227
225	101.463
226	99.8453
227	97.6832
228	94.0171
229	91.2965
230	93.3135
231	92.8172
232	88.2252
233	90.696
234	91.7051
235	92.696
236	93.1259
237	90.7772
238	91.5985
239	91.4779
240	91.7937
241	92.0836
242	86.635
243	87.3668
244	86.9909
245	85.6792
246	84.7994
247	84.6701
248	86.5641
249	88.6601
250	89.0716
251	90.8534
252	92.0056
253	89.894
254	91.962
255	91.9462
256	90.4657
257	89.2381
258	88.704
259	87.7027
260	91.348
261	85.5282
262	85.086
263	85.6386
264	85.7661
265	78.6466
266	78.1494
267	77.9019
268	81.0098
269	81.3316
270	82.9399
271	85.0296
