x	y
1	3.50302
2	-5.42071
3	-8.22832
4	-16.9105
5	-13.0811
6	6.74137
7	-5.05468
8	-0.0422377
9	0.9012
10	-2.09627
11	-15.3622
12	-6.3273
13	3.88778
14	-8.16126
15	-11.8773
16	-5.70968
17	5.57414
18	19.7834
19	-5.48284
20	11.0278
21	7.36004
22	-27.9998
23	-8.88429
24	-5.87981
25	1.0844
26	10.7603
27	7.8029
28	5.11107
29	21.993
30	14.6816
31	2.00352
32	-4.69258
33	-6.53365
34	-2.69825
35	7.65963
36	7.13186
37	6.37954
38	5.65585
39	-3.73857
40	-22.0922
41	-18.3457
42	-10.3508
43	-6.28904
44	-11.9334
45	-1.16863
46	2.76086
47	7.24309
48	12.8963
49	12.2966
50	13.5215
51	-2.67071
52	6.62378
53	-1.11631
54	3.67835
55	-2.10496
56	-2.24501
57	9.06854
58	-2.42428
59	-7.33498
60	-8.92988
61	-6.54125
62	-1.02839
63	1.32389
64	4.79565
65	7.51666
66	2.08061
67	-0.58676
68	-2.27764
69	-1.12924
70	5.20977
71	0.468446
72	-0.228238
73	0.907306
74	4.39728
75	-7.5792
76	-19.5999
77	1.96768
78	0.999955
79	-5.69447
80	-6.60561
81	-5.50729
82	8.50368
83	15.3652
84	3.87914
85	1.42858
86	-5.19925
87	0.280656
88	0.122667
89	-1.07772
90	-7.36134
91	0.330844
92	2.21546
93	1.95734
94	-6.97833
95	-10.7536
96	1.95675
97	1.90759
98	-12.5512
99	-1.22035
100	27.2934
101	0.774323
102	9.03305
103	8.93569
104	18.9455
105	-20.3342
106	5.39124
107	20.6947
108	15.2055
109	16.7515
110	24.028
111	24.6016
112	-8.66598
113	-14.2154
114	-40.7629
115	-40.107
116	-10.0438
117	26.6167
118	-5.55645
119	-25.8126
120	-80.1341
121	2.51934
122	24.991
123	3.31518
124	11.5033
125	-6.59299
126	-2.59823
127	-3.39925
128	3.47279
129	-3.69644
130	-16.934
131	55.6388
132	24.6184
133	-8.66647
134	-13.917
135	-9.86835
136	-0.259279
137	1.47837
138	-6.29453
139	14.7296
140	12.5902
141	-1.90548
142	-3.31039
143	6.03193
144	2.14318
145	7.30251
146	-8.7303
147	-23.2812
148	-16.0318
149	11.7874
150	18.5122
151	26.1115
152	13.7852
153	-26.2097
154	-23.3276
155	-24.1185
156	-1.96477
157	-0.375432
158	12.4362
159	5.45221
160	-1.2844
161	-2.46662
162	17.9598
163	6.77978
164	-2.98876
165	-6.94844
166	2.95096
167	-2.85938
168	8.10137
169	12.8829
170	8.44336
171	-12.0601
172	-24.3092
173	-5.10151
174	-6.94339
175	2.01963
176	-7.81898
177	-2.92509
178	21.8445
179	-34.5321
180	12.1566
181	-25.7706
182	27.0241
183	-16.7138
184	4.83436
185	15.5039
186	-2.57233
187	-1.60047
188	-19.3804
189	-7.17021
190	0.782613
191	8.95427
192	8.30941
193	7.10745
194	7.49685
195	-13.5662
196	-22.3232
197	17.9684
198	8.92289
199	16.4676
200	-13.5855
201	21.7802
202	0.208186
203	9.8176
204	7.58365
205	3.34419
206	7.13071
207	10.8258
208	19.2934
209	10.7668
210	-27.2732
211	-2.85114
212	13.1796
213	7.10563
214	16.1171
215	32.5046
216	3.57818
217	-0.105572
218	6.92813
219	-3.15881
220	23.0322
221	8.67152
222	5.94757
223	0.756861
224	-16.9658
225	-15.5542
226	-20.7601
227	-35.2508
228	-26.1648
229	19.3697
230	-4.77199
231	-44.1535
232	23.7525
233	9.69321
234	9.52704
235	4.13382
236	-22.5834
237	7.88765
238	-1.1595
239	3.03304
240	2.78814
241	-52.3152
242	7.03768
243	-3.60943
244	-12.5981
245	-8.4492
246	-1.24283
247	18.1919
248	20.1539
249	3.95144
250	17.1
251	11.0876
252	-20.2745
253	19.8656
254	-0.151736
255	-14.1666
256	-11.8482
257	-5.01416
258	-9.56839
259	36.0644
260	-55.8742
261	-4.2477
262	5.30618
263	1.22556
264	-68.0909
265	-4.79333
266	-2.37726
267	29.8803
268	3.09064
269	15.3816
270	20.1496
