x	y
1	0.104128
2	0.104125
3	0.10425
4	0.104121
5	0.10413
6	0.104249
7	0.104125
8	0.104124
9	0.104253
10	0.104124
11	0.104245
12	0.104128
13	0.104252
14	0.104146
15	0.104125
16	0.104228
17	0.104253
18	0.104122
19	0.104248
20	0.104125
21	0.104257
22	0.104122
23	0.104251
24	0.104125
25	0.104126
26	0.104245
27	0.104129
28	0.104124
29	0.104125
30	0.10425
31	0.104123
32	0.104123
33	0.104127
34	0.104125
35	0.104126
36	0.104127
37	0.104124
38	0.104145
39	0.104107
40	0.104123
41	0.104127
42	0.104123
43	0.104128
44	0.104248
45	0.104127
46	0.104125
47	0.104121
48	0.104125
49	0.104128
50	0.104111
51	0.104129
52	0.104247
53	0.103999
54	0.104261
55	0.104128
56	0.104006
57	0.104118
58	0.104132
59	0.104123
60	0.103998
61	0.104125
62	0.104125
63	0.104126
64	0.104125
65	0.104125
66	0.104
67	0.104123
68	0.104126
69	0.104128
70	0.103998
71	0.104124
72	0.104121
73	0.10413
74	0.103997
75	0.104128
76	0.104121
77	0.104131
78	0.103997
79	0.104123
80	0.104128
81	0.104127
82	0.104144
83	0.104105
84	0.104122
85	0.104126
86	0.104128
87	0.104123
88	0.104126
89	0.104123
90	0.104124
91	0.104133
92	0.104121
93	0.104127
94	0.104144
95	0.104104
96	0.104122
97	0.10413
98	0.10412
99	0.10413
100	0.104
101	0.10412
102	0.10413
103	0.10412
104	0.10413
105	0.10413
106	0.10412
107	0.10413
108	0.10412
109	0.10413
110	0.10412
111	0.10414
112	0.10424
113	0.10414
114	0.1041
115	0.10413
116	0.10425
117	0.10413
118	0.10412
119	0.10413
120	0.10424
121	0.10413
122	0.10413
123	0.10412
124	0.10415
125	0.1041
126	0.10425
127	0.10413
128	0.10412
129	0.10413
130	0.10412
131	0.10413
132	0.10414
133	0.10411
134	0.10413
135	0.10425
136	0.10412
137	0.10412
138	0.10413
139	0.10412
140	0.10412
141	0.10413
142	0.10415
143	0.1041
144	0.10413
145	0.10412
146	0.10415
147	0.10423
148	0.10412
149	0.10413
150	0.10412
151	0.10413
152	0.10412
153	0.10401
154	0.10412
155	0.10413
156	0.10412
157	0.10412
158	0.10413
159	0.10412
160	0.10413
161	0.10413
162	0.104
163	0.10412
164	0.10412
165	0.10414
166	0.10411
167	0.10413
168	0.10413
169	0.10402
170	0.1041
171	0.10412
172	0.10401
173	0.10412
174	0.10413
175	0.10412
176	0.104
177	0.10413
178	0.10421
179	0.10406
180	0.10406
181	0.10406
182	0.10411
183	0.104
184	0.104
185	0.10412
186	0.1041
187	0.10391
188	0.10412
189	0.10401
190	0.10411
191	0.10405
192	0.10406
193	0.10402
194	0.104
195	0.10412
196	0.104
197	0.10404
198	0.10409
199	0.10402
200	0.1041
201	0.10417
202	0.10409
203	0.104
204	0.1041
205	0.10404
206	0.10398
207	0.104
208	0.10412
209	0.104
210	0.10401
211	0.10412
212	0.10402
213	0.10398
214	0.104
215	0.10412
216	0.104
217	0.10401
218	0.10414
219	0.10398
220	0.104
221	0.104
222	0.10409
223	0.10393
224	0.10398
225	0.104
226	0.10415
227	0.104
228	0.10398
229	0.10413
230	0.10399
231	0.104
232	0.10402
233	0.10411
234	0.104
235	0.104
236	0.104
237	0.10412
238	0.104
239	0.10413
240	0.10399
241	0.10415
242	0.10398
243	0.10413
244	0.10412
245	0.10413
246	0.10401
247	0.10411
248	0.104
249	0.10413
250	0.1042
251	0.10392
252	0.10415
253	0.1041
254	0.10414
255	0.10451
256	0.10361
257	0.10652
258	0.10465
259	0.10108
260	0.10416
261	0.1041
262	0.10414
263	0.10408
264	0.10456
265	0.10371
266	0.10412
267	0.10401
268	0.10413
269	0.10456
270	0.10371
